InstructorStrength,InstructorRecommend,CommentsOnEffective
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"very enthusiastic and an excellent instructor. organization of powerpoint was great and I really appreciated separating the objectives to show what each segment of the powerpoint would cover","TOO much info in an hour",{question_not_shown}
"format is exccelent",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"powerpoint organization was great. easy to follow when studying later",{question_not_shown},{question_not_shown}
"Easy to follow powerpoint and presentation Loved the enthusiasm and energy",{question_not_shown},{question_not_shown}
"Related well to students and he understood our perspective. This is so incredibly important because sometimes instructors seem to forget (or ignore) how we view certain concepts, etc.",None.,{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"I would suggest to somehow alter the Metabolic Acidosis and Renal Tubular Acidosis presentation to make it more concise for the allotted time, or to increase the time allowed for the presentation.",{question_not_shown}
"I really enjoy the new way we have been doing Histology sessions the last few times.",{question_not_shown},{question_not_shown}
"Dr. Cohen is a fantastic and clear instructor.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Dirkx",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"She is the best",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"He is so cool and articulate.  Can I be him when I grow up?",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
